SMILES,Tg,FFV,Rg,Density,Tc,Source,Uncertainty,id
*CC(*)c1ccccc1C(=O)OCCCCCC,,0.37464529,,,0.2056666666666666,internal,0,0
*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0.3704102,,,,internal,0,1
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,,internal,0,2
*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,,internal,0,3
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,0.35547017,,,,internal,0,4
*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,,0.33909279,,,,internal,0,5
*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0.3476159,,,,internal,0,6
*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,0.37754464,,,,internal,0,7
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0.35917558,,,,internal,0,8
*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0.341878125,,,,internal,0,9
*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,,0.40239665,28.6824407,0.901122805,0.487,internal,0,10
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,,13.53424751,1.184354013,0.171,internal,0,11
*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,,0.36481552,,,,internal,0,12
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,0.36956078,,,,internal,0,13
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,0.3314918,,,,internal,0,14
*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,0.34991627,,,,internal,0,15
*Nc1ccc(-c2ccc(N*)cc2)cc1,,0.33687015,,,,internal,0,16
*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,,0.36326495,,,,internal,0,17
*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,0.36594162,,,,internal,0,18
*C(=O)c1ccc(N(*)CCCCCCCC)cc1,,0.40101187,,,,internal,0,19
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,,0.31898697,,,,internal,0,20
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,,0.33573247,,,,internal,0,21
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,,0.38715626,,,,internal,0,22
*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,,0.33579028,,,,internal,0,23
*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,,0.33930299,,,,internal,0,24
*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,,0.36614256,,,,internal,0,25
*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,,0.34722767,,,,internal,0,26
*c1cc(CCOC(=O)NCCCC)c(*)s1,,0.36941899,,,,internal,0,27
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,,0.3407009,,,,internal,0,28
*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,,0.32926001,,,,internal,0,29
*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,,0.32877014,,,,internal,0,30
*CCCCCNC(=O)CCCCC(=O)N*,,0.3327408,,,0.327,internal,0,31
*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,,0.35017075,,,,internal,0,32
*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,,0.38518992,,,,internal,0,33
*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,,,,,0.383,internal,0,34
*CC(*)CCCCCCCCCCCCCCCC,,0.40787312,,,0.375,internal,0,35
*CC(*)CC(C)(C)CC,,,,,0.1863333333333333,internal,0,36
*CC(*)CC,,,13.87291346,,0.2253333333333333,internal,0,37
*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,,0.38708542,,,,internal,0,38
*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,,0.3487648,,,,internal,0,39
*NC(C)C(=O)NCC(=O)NCC(*)=O,208.6397491,,,,,internal,0,40
*C(C)=C(*)[Ge](C)(C)C,,0.39996108,,,,internal,0,41
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,,0.40256926,,,,internal,0,42
*OC(COC(*)=O)COC(C)C,,0.35338284,,,,internal,0,43
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,,0.38083463,,,,internal,0,44
*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,,0.37078536,,,,internal,0,45
*CC(*)C(=O)Oc1ccccc1C,,0.35783052,12.7374634,1.061864136,0.1735,internal,0,46
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,,0.39901234,,,,internal,0,47
*CC(*)c1ccc(C(C)(C)C)cc1,,,,,0.184,internal,0,48
*CC(*)C(=O)OC(C)C,,0.36594213,,,,internal,0,49
*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,0.35839221,,,,internal,0,50
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,,0.37715059,,,,internal,0,51
*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,,0.39541698,,,,internal,0,52
*C=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(*)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,,0.400601,,,,internal,0,53
*O[Si](*)(CCCOCCOCCOCCOCCOC)CCCOCCOCCOCCOCCOC,,0.36551909,,,,internal,0,54
*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,,0.33815952,,,,internal,0,55
*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,,0.42131241,,,,internal,0,56
*CCCCCCSSCCCCSS*,-41.26672381,,,,0.192,internal,0,57
*OC(=O)OCC(O)C(O)COC(=O)OC1COC2C(*)COC12,,0.29768641,,,,internal,0,58
*CCCCCOCO*,,0.36424093,,,,internal,0,59
