SMILES,Tg,FFV,Rg,Density,Tc,Source,id
*CC(*)c1ccccc1C(=O)OCCCCCC,,0.37464529,,,,Kaggle,0.0
*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0.3704102,,,,Kaggle,1.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,,Kaggle,2.0
*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,,Kaggle,3.0
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,0.35547017,,,,Kaggle,4.0
*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,,0.33909279,,,,Kaggle,5.0
*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0.3476159,,,,Kaggle,6.0
*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,0.37754464,,,,Kaggle,7.0
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0.35917558,,,,Kaggle,8.0
*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0.341878125,,,,Kaggle,9.0
*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,,0.40239665,28.6824407,,,Kaggle,10.0
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,,13.53424751,,,Kaggle,11.0
*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,,0.36481552,,,,Kaggle,12.0
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,0.36956078,,,,Kaggle,13.0
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,0.3314918,,,,Kaggle,14.0
*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,0.34991627,,,,Kaggle,15.0
*Nc1ccc(-c2ccc(N*)cc2)cc1,,0.33687015,,,,Kaggle,16.0
*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,,0.36326495,,,,Kaggle,17.0
*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,0.36594162,,,,Kaggle,18.0
*C(=O)c1ccc(N(*)CCCCCCCC)cc1,,0.40101187,,,,Kaggle,19.0
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,,0.31898697,,,,Kaggle,20.0
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,,0.33573247,,,,Kaggle,21.0
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,,0.38715626,,,,Kaggle,22.0
*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,,0.33579028,,,,Kaggle,23.0
*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,,0.33930299,,,,Kaggle,24.0
*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,,0.36614256,,,,Kaggle,25.0
*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,,0.34722767,,,,Kaggle,26.0
*c1cc(CCOC(=O)NCCCC)c(*)s1,,0.36941899,,,,Kaggle,27.0
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,,0.3407009,,,,Kaggle,28.0
*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,,0.32926001,,,,Kaggle,29.0
*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,,0.32877014,,,,Kaggle,30.0
*CCCCCNC(=O)CCCCC(=O)N*,,0.3327408,,,,Kaggle,31.0
*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,,0.35017075,,,,Kaggle,32.0
*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,,0.38518992,,,,Kaggle,33.0
*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,,,,,,Kaggle,34.0
*CC(*)CCCCCCCCCCCCCCCC,,0.40787312,,,,Kaggle,35.0
*CC(*)CC(C)(C)CC,,,,,,Kaggle,36.0
*CC(*)CC,,,13.87291346,,,Kaggle,37.0
*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,,0.38708542,,,,Kaggle,38.0
*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,,0.3487648,,,,Kaggle,39.0
*NC(C)C(=O)NCC(=O)NCC(*)=O,,,,,,Kaggle,40.0
*C(C)=C(*)[Ge](C)(C)C,,0.39996108,,,,Kaggle,41.0
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,,0.40256926,,,,Kaggle,42.0
*OC(COC(*)=O)COC(C)C,,0.35338284,,,,Kaggle,43.0
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,,0.38083463,,,,Kaggle,44.0
*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,,0.37078536,,,,Kaggle,45.0
*CC(*)C(=O)Oc1ccccc1C,,0.35783052,12.7374634,,,Kaggle,46.0
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,,0.39901234,,,,Kaggle,47.0
*CC(*)c1ccc(C(C)(C)C)cc1,,,,,,Kaggle,48.0
*CC(*)C(=O)OC(C)C,,0.36594213,,,,Kaggle,49.0
*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,0.35839221,,,,Kaggle,50.0
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,,0.37715059,,,,Kaggle,51.0
*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,,0.39541698,,,,Kaggle,52.0
*C=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(*)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,,0.400601,,,,Kaggle,53.0
*O[Si](*)(CCCOCCOCCOCCOCCOC)CCCOCCOCCOCCOCCOC,,0.36551909,,,,Kaggle,54.0
*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,,0.33815952,,,,Kaggle,55.0
*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,,0.42131241,,,,Kaggle,56.0
*CCCCCCSSCCCCSS*,,,,,,Kaggle,57.0
*OC(=O)OCC(O)C(O)COC(=O)OC1COC2C(*)COC12,,0.29768641,,,,Kaggle,58.0
*CCCCCOCO*,,0.36424093,,,,Kaggle,59.0
*c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6nc(-c7cccc(-c8nc(*)c(-c9ccccc9)[nH]8)c7)[nH]c6-c6ccccc6)cc5)cc4)c3)cc2)cc1,,0.39177495,,,,Kaggle,60.0
*Oc1ccc(NC(=O)c2cc(NC(=O)CCCCCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc(*)cc3)c2)cc1,,0.33547772,,,,Kaggle,61.0
*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C(F)(F)F)c1)C2=O,,0.39841654,,,,Kaggle,62.0
*C=CCCCCCCCC*,,,,,,Kaggle,63.0
*CC(*)C(=O)Oc1ccccc1,,0.3539411,13.43533854,,,Kaggle,64.0
*Oc1ccc(Cc2ccc(OC(=O)c3ccc(C(C)(C)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,,0.36534872,,,,Kaggle,65.0
*C=C(*)c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,,0.37446752,,,,Kaggle,66.0
*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(OCCCCCCOc3ccc(/C=C/c4ccc(F)cc4)cc3)c2)cc1OCCCCCCOc1ccc(/C=C/c2ccc(F)cc2)cc1,,0.36214283,,,,Kaggle,67.0
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)C(=O)OCCCCCC)cc1,,0.35827772,,,,Kaggle,68.0
*O[Si](C)(C)c1ccc2ccc([Si](*)(C)C)cc2c1,,0.41603966,,,,Kaggle,69.0
*CC(*)C(=O)OC([2H])([2H])[2H],,0.32713966,,,,Kaggle,70.0
*CC(C)(C)C1C(=O)N(c2c(C)cccc2C)C(=O)C1*,,0.36567807,,,,Kaggle,71.0
