SMILES,Density,id
*C*,0.9362,11351
*CC(*)CCC(C)C,0.855,11359
*C(*)C,0.9195,11382
*/C=C/CCCCCC*,1.0,11387
*/C=C/CCCCC*,1.0295,11394
*/C=C/C1CCC(*)C1,1.3,11395
*CC/C=C(/*)CCC,0.935,11396
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748,11411
*CC(*)n1cc2ccccc2n1,1.23,11415
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.891,11420
*CC(*)C[Si](C)(C)C,0.876,11427
*CC(*)OCCCC,0.9285,11430
*CC(*)OCCCCC,0.918,11431
*CC(*)OCCCCCC,0.9135,11432
*CC(*)OCCCCCCCCCC,0.8815,11433
*CC(*)OCC(C)C,0.93,11437
*CC(*)CC[Si](C)(C)C,0.898,11442
*C1CC(*)(C#N)C1,1.1,11451
*CC/C=C(/*)c1ccccc1,1.063,11456
*CC(*)OCCCCCCCC,0.9035,11460
*CC(*)[SiH2]CC,0.98,11471
*CCC/C=C(/*)c1ccc(OC)cc1,1.083,11475
*CCC/C=C(/*)c1ccccc1,1.04,11476
*CCC/C=C(/*)c1ccc(Cl)cc1,1.173,11477
*/C(C)=C(/*)[Si](C)(C)C,0.77,11478
*CC(*)n1ccnc1,1.07,11479
*CC(*)C(=O)OC(C)CC,1.413,11487
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.9686,11502
*CC(*)(C)C(=O)OCCCl,1.32,11506
*CC(*)(C)C(=O)OCC(F)(F)F,1.4531,11507
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1.496,11508
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1.34,11509
*CC(*)(C)C(=O)OCCOCC,1.169,11512
*CC(*)(Cl)C(=O)OC,1.49,11513
*CC(*)(Cl)C(=O)OCC,1.39,11514
*CC(*)(Cl)C(=O)OC(C)CC,1.24,11515
*CC(*)(Cl)C(=O)OC1CCCCC1,1.25,11516
*CC(*)C(=O)N(CCCC)CCCC,1.02,11519
*CC(*)(C)C(=O)OCCCCCCCCCC,0.9696,11521
*CC(*)(Cl)C(=O)OCCC,1.3,11522
*CC(*)(Cl)C(=O)OCCCC,1.24,11523
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.043,11524
*CC(*)(C)C(=O)OCCCCC,1.042,11528
*CC(*)(C)C(=O)OCCC(C)(C)C,1.0,11529
*CC(*)(C)C(=O)OC(C)C(C)(C)C,0.99,11530
*CC(*)(C)C(=O)OCCOCCO,1.26,11532
*CC(*)(C)C(=O)OCC[N+](=O)[O-],1.354,11535
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.6382,11537
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.052,11538
*CC(*)(Cl)C(=O)OC(C)C,1.27,11541
*CC(*)C(=O)OCCC(C)OC,1.1587,11550
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,1.135,11556
*CC(*)(CC(=O)Oc1cccc(C)c1)C(=O)Oc1cccc(C)c1,1.11,11557
*CC(*)(CC(=O)Oc1ccc(C)cc1)C(=O)Oc1ccc(C)cc1,1.07,11558
*CC(*)(C)C(=O)OCCOCCOCCO,1.24,11560
*CC(*)C(=O)O[Na],1.48,11561
*CC(*)(C)C(=O)OCC#C,1.17,11562
*CC(*)F,1.38,11564
*C(*)(F)F,2.171,11569
*CC(*)Br,2.17,11573
*C(=C(F)F)C(*)(F)F,1.99,11574
*CCC(F)(F)C(*)(F)Cl,1.67,11575
*CCC(F)(F)C(*)(F)F,1.7585,11576
*CC(*)(Br)Br,3.0275,11577
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,1.88,11578
*CCCCCCCCC(Cl)C(*)Cl,1.14,11579
*CCCCCCCCCCC(Cl)C(*)Cl,1.1,11580
*CCCC(Cl)C(*)Cl,1.4,11581
*CCC(Cl)C(*)Cl,1.46,11582
*/C=C/C(C)C*,1.015,11584
*/C=C/C(C*)CC,0.985,11585
*CC(*)=C,1.07,11586
*CC(*)C=C(C)C,0.88,11588
*CC/C=C(/*)C(C)(C)C,0.893,11589
*CC/C(C)=C(/*)C,0.905,11590
*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,1.06,11591
*CC(C)/C=C(/*)C,0.88,11592
*CO*,1.425,11593
*OC(*)C,1.1055,11594
*OC(*)C(Cl)(Cl)Cl,2.012,11595
*OC(*)CC,1.05,11596
*OC(*)CCC,1.0,11597
*OC(*)CCC#N,1.22,11598
*CC(O*)C(F)(F)F,1.64,11602
*CC(CC)O*,0.968,11603
*CC(COC)O*,1.095,11604
*CC(C)(C)O*,1.0865,11605
*CC(CCCC)O*,0.9475,11606
*CC(O*)C(C)(C)C,0.995,11607
*CC(COCC)O*,1.025,11608
*CC(COCC=C)O*,1.048,11609
*CC(COCCCC)O*,0.982,11610
*CC(CCCCCC)O*,0.959,11611
*CC(COCCCCCC)O*,0.966,11612
*CC(O*)c1ccccc1,1.151,11613
*CC(COc1ccccc1)O*,1.272,11614
*CC(COc1ccccc1Cl)O*,1.384,11615
*OC(C)C(*)C,1.055,11616
*CCCO*,1.14,11617
*CC(C)(C)CO*,0.985,11618
*CC(CO)(CO)CO*,1.28,11619
*CC(CO*)(COCC)COCC,1.165,11620
*CC(CCl)(CCl)CO*,1.41,11621
*CCCCCCO*,1.06,11623
*CCCCCCCCO*,1.03,11624
*CCCCCCCCCO*,1.025,11625
*CCCCCCCCCCO*,1.03,11626
*CCCCCCCCCCCCO*,1.025,11627
*Oc1ccc(*)cc1,1.4165,11628
*OC1C(C)(C)C(*)C1(C)C,1.06,11631
*CCOCO*,1.41,11632
*CCCCOCO*,1.185,11633
*CCCCCOCO*,1.14,11634
*CCCCCCOCO*,1.08,11635
*CCOCCOC(=O)CCCCCCCCC(=O)O*,1.128,11636
*CCOC(=O)c1ccc(O*)cc1,1.39,11639
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,1.178,11642
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,1.37,11644
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.2835,11645
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.233,11646
*OC(*)CCCCCC,0.995,11649
*CCOCCOC(=O)CCCCC(=O)O*,1.1918,11650
*CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,1.2,11651
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.287,11652
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,1.38,11655
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.775,11656
*CC(CCCCCCCCCC)O*,0.862,11657
*OC1CCCCC1*,1.067,11659
*CCCCCCCCc1nnc(*)o1,1.21,11660
*CCCCCCCCCc1nnc(*)o1,1.28,11661
*CCCCCCCCCCc1nnc(*)o1,1.22,11662
*c1ccc(Oc2ccc(-c3nnc(*)o3)cc2)cc1,1.3075,11663
*c1ccc(C2(c3ccc(-c4nnc(*)o4)cc3)OC(=O)c3ccccc32)cc1,1.3195,11664
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(c4ccccc4)c4ccc(*)cc4)cc3)cc2)cc1,1.239,11669
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,1.26,11670
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,1.329,11672
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.317,11674
*CC(CC)(CC)CO*,1.04,11675
*CC(O*)C(C)C,1.025,11676
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.3,11677
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,1.5,11680
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,1.174,11681
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,1.938,11682
*CC(C)(CC)CO*,0.966,11683
*CC(C)(CO)CO*,1.144,11684
*c1ccc2oc(*)nc2c1,1.638,11685
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.395,11686
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.374,11687
*/C=C/c1sc(*)c(OCCCC)c1OCCCC,1.36,11689
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccccc4-c4ccccc4C(=O)c4ccc(*)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.307,11690
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,1.1365,11691
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,1.267,11692
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,1.225,11693
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,1.47,11694
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(*)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,1.245,11695
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c2)cc1,1.63,11696
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,1.55,11697
*CC(C[N-][N+]#N)O*,1.29,11698
*CCSSSS*,1.46405,11701
*CC(C)S*,1.2,11702
*CC(S*)C(C)(C)C,1.09,11703
*CC(CC)S*,1.093,11704
*CC(COCC=C)S*,1.123,11705
*CCCS*,1.16,11706
*CC(C)(C)CS*,1.098,11707
*CCCCS*,1.2,11708
*CCCCCS*,1.1725,11709
*CCCCCCS*,1.0795,11710
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,1.2005,11712
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,1.175,11713
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,1.157,11714
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,1.127,11715
