SMILES,Density,id
*O[Si](*)(CC)CC,0.955,10070
*O[Si](*)(C)C,0.962,10071
*C/C=C\C*,0.887,10072
*C[Si](*)(C)C,0.93,10073
*O[Si](*)(C)c1ccccc1,1.123,10074
*CC(COCCCCCC)O*,0.94,10075
*CCCCO*,0.968719908,10076
*N[Si](*)(C)C,1.062,10077
*CC=C(C*)CCCC,0.864,10078
*CC(*)OCCCCCCCC,0.884,10079
*CC(COCCCC)O*,0.97,10080
*CC*,0.839985752,10081
*CCCO*,1.006,10082
*CC=C(C*)CCC,0.869,10083
*CC=C(C*)CC,0.876,10084
*CC(*)OCCCCCCCCCC,0.879,10085
*O[Si](*)(C)CCC(F)(F)F,0.882,10087
*CCC[Si](*)(C)C,0.861,10088
*CC=C(C)C*,0.903,10089
*CCCCCCCCO*,0.887,10090
*CCCCCCO*,0.925,10091
*CCCCOC(=O)CCCCC(=O)O*,1.1146399009999999,10092
*CC(*)OCC(CC)CCCC,0.8939416769999999,10095
*CC(*)OCCCCC,0.887,10096
*CC(*)C(=O)OCCCCCCCC,0.950070253,10097
*CC(*)OCCCCCC,0.895,10098
*CC(COC)O*,1.083,10099
*CC(*)C=CC,0.851,10100
*CC(*)C(=O)OCCCCCCC,0.9599189029999999,10101
*OCCCCCC(*)=O,1.083,10102
*CC(*)C(=O)OCCCCCCCCC,0.948,10103
*CC(*)C(=O)OCCCCCC,0.9744399795,10104
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,1.024,10105
*CO*,0.933,10107
*CC(*)C(=O)OCCCC,1.014201153,10108
*CC(*)CCCCC,0.8305134789999999,10109
*CCC(C)CCC(=O)O*,1.056,10110
*CC=C(C*)C(C)C,0.912,10111
*CC(*)OCCCC,0.872,10112
*CC(*)CCC,0.82917122,10113
*CC(*)CCCC,0.828771238,10114
*CC=C(Cl)C*,1.217,10115
*CC(C)S*,1.13,10116
*CC(*)CC,0.8389016364999999,10117
*CC(*)C(=O)OC(C)CCCCCC,1.107,10118
*CCOC(=O)CCCCCCCC(=O)O*,0.954,10119
*CC(*)C(=O)OCCC,1.045080261,10120
*CC(*)C,0.8383662199999999,10121
*CCOC(=O)CCCCC(=O)O*,1.611,10122
*CC(*)C(=O)OC(C)CCCCC,0.965,10124
*CC(*)CCCC(C)C,0.836,10125
*CC=C(Br)C*,1.772,10126
*CCC[Si](*)(C)c1ccccc1,1.085,10127
*CC(*)C(=O)OCC(C)C,1.0120974415,10129
*CC(*)OCC(C)C,0.902,10130
*CC(*)C(=O)OCC,1.0822841040000002,10131
*CC(*)(C)C(=O)OCCCCCCCC,0.9238252735000001,10133
*CC(*)C(=O)OC(C)CC,1.022,10134
*CC(*)OCC,0.9536931385,10135
*c1nc(C(F)(F)C(F)(F)OC(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)n1,1.858,10136
*CC(*)C(=O)OC(CC)CC,0.9880091,10138
*CC(*)CCC(C)C,0.833,10139
*c1nc(C(F)(F)F)nc(C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(*)(F)C(F)(F)F)C(F)(F)F)n1,1.854,10140
*CC(CCl)(CCl)CO*,1.328,10141
*CCC[Si](*)(C)c1ccc(N(C)C)cc1,1.001,10142
*CC(*)(C)C(=O)OCCCCCC,0.9708861795,10143
*CC(*)C=C,0.8777923995,10144
*CC(*)OC(C)C,0.9253066125,10145
*OCCOC(=O)CCC(*)=O,1.14,10147
*O[Si](O[Si](C)(C)c1ccc([Si](*)(C)C)cc1)(c1ccccc1)c1ccccc1,1.076,10148
*CC(*)OC(=O)CCC,0.97,10150
*CC(*)c1ccc(CCCC)cc1,0.940745662,10151
*CC(*)C(=O)OC,1.147091976,10152
*CC(*)OC(=O)CC,1.0770836190000002,10153
*CC(*)(C)C(=O)OCC(CC)CC,0.985,10154
*CC(*)c1ccccc1OCCCCCCCC,0.959,10155
