SMILES,Density,id
*CC(*)CC,0.9,0
*CC(*)CCC,0.9,1
*CC(*)(C)C,0.912,2
*CCC(*)(C)C,0.8718,3
*CC(*)C1CCCC1,0.97,4
*CC(*)CC1CCCC1,0.924,5
*CC(*)C1CCCCC1,0.944,6
*CC(*)Cc1ccccc1,1.051,7
*CC(*)CCc1ccccc1,1.045,8
*CC(*)CCCCCC,0.85,9
*CC(*)CCCCCCCCCCCCCCCC,0.8969,10
*CC(*)C(CC)CC,0.89,11
*CC(*)CC(CC)CC,0.86,12
*CC(*)CC(C)CC,0.9,13
*C(*)C,0.9195,14
*CCC(C)C(*)C,0.9,15
*CCC1CCCC1*,1.01,16
*CC(*)C1CCCC(C)C1,0.9237,17
*CC(*)C1CCC(C)CC1,0.9249,18
*/C=C/C1CCC(*)C1,1.3,19
*CC/C=C(/*)CCC,0.935,20
*CC(*)c1ccccc1,1.048,21
*CC(*)c1ccccc1F,1.29,22
*CC(*)c1cccc(C)c1,1.0285,23
*CC(*)c1ccc(C(C)(C)C)cc1,0.9479,24
*CC(*)c1ccc(Br)cc1,1.408,25
*CC(*)c1ccc(OC)cc1,1.0635,26
*CC(*)c1c(C)cc(C)cc1C,1.168,27
*CC(*)c1cc(C)c(C)cc1C,0.996,28
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748,29
*CC(*)c1ccc2ccccc2c1,1.108,30
*CC(*)c1ccncc1,1.1884,31
*CC(*)c1ccc(C)nc1,1.103,32
*CC(*)OC(=O)CCCCCCCCCCC,0.8876610060000001,33
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.874858863,34
*CC(*)C[Si](C)(C)C,0.876,35
*CC(*)OCCCC,0.9285,36
*CC(*)OCCCCC,0.918,37
*CC(*)OCCCCCC,0.9135,38
*CC(*)OCCCCCCCCCC,0.8815,39
*CC(*)OC(C)=O,1.185,40
*CC(*)OCC(C)C,0.93,41
*CC(*)CCCN(C(C)C)C(C)C,0.889,42
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1.4965,43
*CC(*)CC[Si](C)(C)C,0.898,44
*CC(*)OC=O,1.42,45
*CC(*)OC(C)(C)C,0.971,46
*CC(*)(C)OC,1.0355,47
*CC(*)OCC(C)(C)C,0.91,48
*CC(*)OC(C)CC,0.9395,49
*CC(*)OC(=O)C(F)(F)F,1.55,50
*CC(*)OCCCCCCCCCCCC,0.892,51
*C1CC(*)(C#N)C1,1.1,52
*CC(*)Cc1cccc(C)c1,1.039,53
*CC(*)Cc1ccccc1C,1.031,54
*CC(*)Cc1ccc(C)cc1,1.035,55
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1.112,56
*CC/C=C(/*)c1ccccc1,1.063,57
*CC(*)OCC(CC)CCCC,0.9005,58
*CC(*)SCCCC,0.984,59
*CC(*)SC,1.184,60
*CC(*)OCCCCCCCC,0.9035,61
*CC(*)OCCC,0.94,62
*CC(*)OC(=O)CCCC(=O)c1ccccc1,0.851,63
