smiles,thermal_conductivity
*C(C*)C,0.25877338
*C(C*)CC,0.264363289
*C(C*)CCC,0.261130695
*C(C*)C(C)C,0.234342233
*C(C*)CCCC,0.275330549
*C(C*)CC(C)C,0.240918065
*C(C*)CCCCC,0.27463839
*C(C*)CCC(CC)C,0.265949678
*C(C*)CCCCCCC,0.3025418
*C(C*)CCCCCCCC,0.311086292
*C(C*)(C)C,0.239525744
*C(C*)(CC)C,0.238234779
*C(CC*)(C)C,0.243031165
*C(C(C*)C)(C)C,0.236350165
*C(CCC*)(C)C,0.26184049
*C(CCC*)(CC)C,0.255337725
*C(CCCCCCC*)C,0.335492597
*C(C*)C1CC1,0.241876535
*C(C*)C1CCC1,0.225308463
*C(C*)C1CCCC1,0.231107263
*C(C*)CC1CCCC1,0.258406248
*C(C*)C1CCCCC1,0.209246003
*C(C*)CC1CCCCC1,0.229332958
*C(C*)Cc1ccccc1,0.192462189
*C(C*)CCc1ccccc1,0.213754837
*C(C*)C(c1ccccc1)C,0.185319288
*C(C*)CCCCCC,0.285305157
*C(C*)CCCCCCCCCC,0.342728736
*C(C*)CCCCCCCCCCCC,0.357973495
*C(C*)CCCCCCCCCCCCCCCC,0.373038526
*C(C*)C(CC)C,0.234228593
*C(C*)C(CC)CC,0.243101437
*C(C*)CC(CC)CC,0.26234017
*C(C*)CC(CC)C,0.263746378
*C(C*)CC(C)(C)C,0.234660455
*C(C*)CC(CC)(C)C,0.232292247
*C(C*)CCCC(C)(C)C,0.257288867
*C(C*)CCC1CCCCC1,0.251637679
*C(C*)CCCC1CCCCC1,0.265537579
*C1(CCC(CC1)C)C*,0.21062304
*C(C*)(CCC)C,0.243076256
*/C=C/CC*,0.303711437
*/C=C\CC*,0.266947942
*C=CCC*,0.314780299
*C(C)C(C)*,0.264498348
*C(C(CC*)C)C,0.254887827
*C1C(CCC1)CC*,0.250907231
*C=CCCCCCCCC*,0.343357529
*C(C*)CCCCCCCCCCCCCCCCCCCC,0.393169818
*/C=C/CCCCCCCCCC*,0.336324709
*C=CCCCCCC*,0.302191029
*/C=C/CCC*,0.289325665
*C(C*)C(C)(C)C,0.210797175
*/C=C\CCCC*,0.263602776
*C(CC)C(CC)*,0.250042719
*C(C*)CCCCCCCCCCC,0.329033378
*C(C*)CCCCCCCCC,0.296879704
*C(C*)C1CC(CCC1)C,0.212366103
*C(C*)C1CCC(CC1)C,0.229479225
*C(C*)C1CC=CCC1,0.196699201
*C(=CCC*)CCCCCCC,0.278102134
*C(=CCC*)C(C)C,0.235767575
*/C=C\CCC*,0.244482147
*C(C*)CCC(C)(C)C,0.249457925
*C1C(CC1)*,0.236871624
*/C=C\*,0.573236329
*C1CC(CC1)C=C*,0.309193929
*/C=C/C(C*)C(CC)C,0.237962753
*C(=CCC*)CCC,0.257522564
*C=CCCCCCCCCCC*,0.357300526
*C1(CCCCC1)C*,0.209508397
*C=CC(CCCCC*)C,0.264312063
*/C(=C\CC*)C(C)(C)C,0.230866797
*C(C*)c1ccccc1,0.203029804
*C(C*)c1c(cccc1)C,0.23889195
*C(C*)c1c(cccc1)CC,0.223756212
