,SMILES,Tg,FFV,Rg,Density,Tc,id
35631,*CC*,,,22.52882969,0.837971504,0.456184962,35631
35632,*CC(*)C,,,18.30421655,0.83573244,0.25877338,35632
35633,*CC(*)CC,,,17.61029646,0.833803273,0.264363289,35633
35634,*CC(*)CCC,,,15.69579508,0.82434244,0.261130695,35634
35635,*CC(*)C(C)C,,,16.58024304,0.809481605,0.234342233,35635
35636,*CC(*)CCCC,,,15.5576579,0.825542476,0.275330549,35636
35637,*CC(*)CC(C)C,,,15.29672057,0.822248085,0.240918065,35637
35638,*CC(*)CCCCC,,,14.49472356,0.826026958,0.27463839,35638
35639,*CC(*)CCC(C)CC,,,14.60740742,0.835027112,0.265949678,35639
35640,*CC(*)CCCCCCC,,,14.31192204,0.830236127,0.3025418,35640
35641,*CC(*)CCCCCCCC,,,14.1552684,0.830808762,0.311086292,35641
35642,*CC(*)(C)C,,,17.01444077,0.87060676,0.239525744,35642
35643,*CC(*)(C)CC,,,16.87721653,0.844525133,0.238234779,35643
35644,*CCC(*)(C)C,,,17.67198533,0.831834985,0.243031165,35644
35645,*CC(C)C(*)(C)C,,,17.17860438,0.836805812,0.236350165,35645
35646,*CCCC(*)(C)C,,,18.33164508,0.829420011,0.26184049,35646
35647,*CCCC(*)(C)CC,,,18.11387406,0.827575347,0.255337725,35647
35648,*CCCCCCCC(*)C,,,20.46167604,0.838285169,0.335492597,35648
35649,*CC(*)C1CC1,,,16.56057365,0.894720922,0.241876535,35649
35650,*CC(*)C1CCC1,,,16.09859299,0.890516521,0.225308463,35650
35651,*CC(*)C1CCCC1,,,15.28079947,0.896070041,0.231107263,35651
35652,*CC(*)CC1CCCC1,,,15.23433651,0.89707436,0.258406248,35652
35653,*CC(*)C1CCCCC1,,,15.42436826,0.852752091,0.209246003,35653
35654,*CC(*)CC1CCCCC1,,,14.56179057,0.876520821,0.229332958,35654
35655,*CC(*)Cc1ccccc1,,,15.68836024,1.008541193,0.192462189,35655
35656,*CC(*)CCc1ccccc1,,,14.96591592,1.000097037,0.213754837,35656
35657,*CC(*)C(C)c1ccccc1,,,14.69572127,0.950614435,0.185319288,35657
35658,*CC1CCC(*)C1,,,24.21058686,0.930004498,0.316659421,35658
35659,*CC(*)CCCCCC,,,14.80442202,0.829569461,0.285305157,35659
35660,*CC(*)CCCCCCCCCC,,,14.09923321,0.831539982,0.342728736,35660
35661,*CC(*)CCCCCCCCCCCC,,,13.51522597,0.83325233,0.357973495,35661
35662,*CC(*)CCCCCCCCCCCCCCCC,,,13.46131349,0.833313341,0.373038526,35662
35663,*CC(*)C(C)CC,,,15.66076705,0.810410007,0.234228593,35663
35664,*CC(*)C(CC)CC,,,15.78908163,0.81481654,0.243101437,35664
35665,*CC(*)CC(CC)CC,,,14.5182176,0.829919646,0.26234017,35665
35666,*CC(*)CC(C)CC,,,15.292816,0.825624108,0.263746378,35666
35667,*CC(*)CC(C)(C)C,,,15.7554997,0.817611089,0.234660455,35667
35668,*CC(*)CC(C)(C)CC,,,15.15669433,0.836728393,0.232292247,35668
