smiles,Rg
*CC(*)(C)C(=O)OCCCCCCCC,14.55134418
*C(C*)c1ccc(cc1)CCCCCCCCC,13.85493272
*CC(*)(C)C(=O)OCCCCCC,14.66868863
*C(C*)c1ccc(cc1)CCCCCCCC,13.38649534
*C(C*)c1ccc(cc1)CCCCCCCCCC,13.22855054
*CC(*)(C)C(=O)OCCCCCCCCCCCC,13.39340415
*CC(*)(C)C(=O)OCc1ccccc1,14.93752811
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,13.38250161
*C(C*)C(=O)OCCCCCCCC,14.09828696
*CC(*)C(=O)OCCc1ccccc1,14.37769261
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,13.04227706
*C(C*)c1c(cccc1)COCCCC,13.56616351
*C(C*)c1ccc(cc1)CCCCCC,14.12902258
*C(C*)c1c(cccc1)COCCCCC,14.35390981
*C(C*)c1c(cccc1)COCCC,14.59224927
*C(C*)c1c(cccc1)COC(C)C,14.05306777
*CC(*)(C)C(=O)OC1CCCCC1,14.59071673
*C(C*)c1ccc(cc1)COCCCCCC,13.35700392
*C(C*)c1ccc(cc1)C(=O)CCC,14.73914033
*C(C*)C(=O)OCCCCCC,14.943675
*C(C*)C(=O)OCCCCCCC,14.77447829
*C(C*)c1c(cccc1)COCC,13.822737
*C(C*)C(=O)OCCCCCCCCCCCC,13.68458172
*C(C*)c1ccc(cc1)COCC(CCCC)CC,13.7006927
*C(C*)C(=O)OCCCCCCCCCCCCCC,13.27992216
*C(C*)CCCCCCCCCC,14.09923321
*C(C*)c1ccc(cc1)OCCC,14.44443348
*C(C*)CCCCCCCCCCCC,13.51522597
*C(C*)C(=O)c1ccc(cc1)CCC,14.16661987
*C(C*)c1ccc(cc1)COCCCC,13.60171636
*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,16.42669939
*C(C*)c1ccc(cc1)COCCC,12.58385702
*C(C*)c1ccc(cc1)C(=O)OCCC,14.55540999
*C(C*)c1c(ccc(c1)Br)OCCCC,14.88363327
*C(C*)c1c(cccc1)COCCC(C)C,14.45873814
*CC(*)(C)C(=O)OCCS(=O)CC,15.40401899
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,13.18092867
*C(C*)c1ccc(cc1)CCC,15.2545153
*C(C*)c1c(ccc(c1)Br)OCCC,14.99578566
*C(C*)(C(=O)OCCCC)C,15.55524532
*C(C*)c1ccc(cc1)COCCOCCCC,14.09935019
*C(C*)c1ccc(cc1)OCCCC,13.6870881
*C(C*)CCCCCCCCCCC,13.10676513
*C(C*)c1ccc(cc1)C(=O)CCCC,13.57615427
*C(C*)OC(=O)CCCCCCCCC,13.85669729
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,12.58652312
*C(C*)c1ccc(cc1)COC(CC)C,13.53195109
*C(C*)C(=O)c1ccc(cc1)CC,14.9218365
*C(C*)c1ccc(cc1)COCCOCC,14.34922191
*C(C*)c1ccc(cc1)CCCC,14.8552015
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,14.15047761
*C(C*)CCCCCCCCC,13.8933044
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,15.89822091
*C(C*)c1ccc(cc1)C(=O)OC(C)C,15.52167208
*C(C*)(c1ccc(cc1)C(C)C)C,13.60534967
*C(C*)c1ccc(cc1)C(=O)CCCCC,14.36561543
*CC(*)C(=O)OC(CC)CC,15.29508313
*C(C*)c1ccc(cc1)C(CC)C,12.82216991
*C(C*)CCc1c(cccc1)C,14.63740659
*C(C*)c1ccc(cc1)C(=O)OCC,15.33141492
*C(C*)c1ccc(cc1)C(=O)OCCCC,14.69007069
*C(C*)c1ccc(cc1)OCCC(C)C,15.22506355
*C(C*)OC(=O)CCCCCCC,14.47773716
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,14.58801332
*CC(*)C(=O)Oc1cccc(N(C)C)c1,14.20765792
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,14.7171157
*C(C*)c1ccc(cc1)C(=O)CC,14.23013368
*C(C*)C(=O)c1ccc(cc1)C(C)C,14.91122347
*C(C*)CCCCCCCC,14.1552684
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,13.29611425
