SMILES,Density,Source,Confidence
*CC(*)(C)C,0.8913033800000001,GREA,0.5
*CCC(*)(C)C,0.8518174924999999,GREA,0.5
*CC(*)CC1CCCC1,0.91053718,GREA,0.5
*CC(*)Cc1ccccc1,1.0297705965,GREA,0.5
*CC(*)CCc1ccccc1,1.0225485184999998,GREA,0.5
*CC(*)CCCCCC,0.8397847304999999,GREA,0.5
*CC(*)CC(CC)CC,0.8449598229999999,GREA,0.5
*C(*)C,0.9195,GREA,0.5
*/C=C/C1CCC(*)C1,1.3,GREA,0.5
*CC/C=C(/*)CCC,0.935,GREA,0.5
*CC(*)c1ccc(Br)cc1,1.434785233,GREA,0.5
*CC(*)c1ccc(OC)cc1,1.052793297,GREA,0.5
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748,GREA,0.5
*CC(*)C[Si](C)(C)C,0.876,GREA,0.5
*CC(*)OCCCC,0.9285,GREA,0.5
*CC(*)OCCCCC,0.918,GREA,0.5
*CC(*)OCCCCCC,0.9135,GREA,0.5
*CC(*)OCCCCCCCCCC,0.8815,GREA,0.5
*CC(*)OCC(C)C,0.93,GREA,0.5
*CC(*)CCCN(C(C)C)C(C)C,0.8813266025,GREA,0.5
*CC(*)CC[Si](C)(C)C,0.898,GREA,0.5
*CC(*)OCC(C)(C)C,0.8923104725,GREA,0.5
*CC(*)OC(C)CC,0.9223217225,GREA,0.5
*CC(*)OC(=O)C(F)(F)F,1.52091844,GREA,0.5
*CC(*)OCCCCCCCCCCCC,0.88407897,GREA,0.5
*C1CC(*)(C#N)C1,1.1,GREA,0.5
*CC/C=C(/*)c1ccccc1,1.063,GREA,0.5
*CC(*)OCC(CC)CCCC,0.892191677,GREA,0.5
*CC(*)SCCCC,0.9798496784999999,GREA,0.5
*CC(*)OCCCCCCCC,0.9035,GREA,0.5
*CC(*)OCCC,0.938155329,GREA,0.5
*CC(*)OC(=O)CCCCCCC,0.9462677945,GREA,0.5
*CC(*)[SiH2]CC,0.98,GREA,0.5
*CC(*)OC(=O)CCCCCCCCC,0.92576752,GREA,0.5
*CC(*)OC(=O)CCCCC,0.9760683775,GREA,0.5
*CCC/C=C(/*)c1ccc(OC)cc1,1.083,GREA,0.5
*CCC/C=C(/*)c1ccccc1,1.04,GREA,0.5
*/C(C)=C(/*)[Si](C)(C)C,0.77,GREA,0.5
*CC(*)n1ccnc1,1.07,GREA,0.5
*CC(*)C(=O)OC(C)CC,1.413,GREA,0.5
*CC(*)(C)C(=O)OCC(F)(F)F,1.4531,GREA,0.5
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1.496,GREA,0.5
*CC(*)(Cl)C(=O)OC,1.49,GREA,0.5
*CC(*)C(N)=O,1.236577707,GREA,0.5
*CC(*)C(=O)N1CCCCC1,1.015271372,GREA,0.5
*CC(*)(C)C(=O)OCCOCCO,1.26,GREA,0.5
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.6382,GREA,0.5
*CC(*)C(=O)OCCO,1.251816372,GREA,0.5
*CC(*)(C)C(=O)OCCOCCOCCO,1.24,GREA,0.5
*CC(*)C(=O)O[Na],1.48,GREA,0.5
*CC(*)(C)C(=O)OCC#C,1.17,GREA,0.5
*CC(*)F,1.38,GREA,0.5
*C(*)(F)F,2.171,GREA,0.5
*CC/C=C(/*)Cl,1.2326319049999999,GREA,0.5
*CC(*)Br,2.17,GREA,0.5
*C(=C(F)F)C(*)(F)F,1.99,GREA,0.5
*CCC(F)(F)C(*)(F)Cl,1.67,GREA,0.5
*CCC(F)(F)C(*)(F)F,1.7585,GREA,0.5
*CC(*)(Br)Br,3.0275,GREA,0.5
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,1.88,GREA,0.5
*CCCCCCCCC(Cl)C(*)Cl,1.14,GREA,0.5
*CCCC(Cl)C(*)Cl,1.4,GREA,0.5
*/C=C/C(C)C*,1.015,GREA,0.5
*/C=C/C(C*)CC,0.985,GREA,0.5
*CC(*)=C,1.07,GREA,0.5
*CC(*)C=C,0.8832923994999999,GREA,0.5
*CC(C)/C=C(/*)C,0.88,GREA,0.5
*OC(*)C,1.1055,GREA,0.5
*OC(*)CC,1.05,GREA,0.5
*OC(*)CCC,1.0,GREA,0.5
*CC(C)O*,1.007203997,GREA,0.5
*CC(CCl)O*,1.350526235,GREA,0.5
*CC(O*)C(F)(F)F,1.64,GREA,0.5
*CC(CC)O*,0.968,GREA,0.5
*CC(COC)O*,1.095,GREA,0.5
*CC(CCCC)O*,0.9475,GREA,0.5
*CC(O*)C(C)(C)C,0.995,GREA,0.5
*CC(COCC)O*,1.025,GREA,0.5
*CC(COCC=C)O*,1.048,GREA,0.5
*CC(COCCCC)O*,0.982,GREA,0.5
*CC(CCCCCC)O*,0.959,GREA,0.5
*CC(COCCCCCC)O*,0.966,GREA,0.5
*CC(COc1ccccc1)O*,1.272,GREA,0.5
*CC(COc1ccccc1Cl)O*,1.384,GREA,0.5
*OC(C)C(*)C,1.055,GREA,0.5
*CCCO*,1.14,GREA,0.5
*CC(C)(C)CO*,0.985,GREA,0.5
*CC(CO)(CO)CO*,1.28,GREA,0.5
*CC(CO*)(COCC)COCC,1.165,GREA,0.5
*CC(CCl)(CCl)CO*,1.41,GREA,0.5
*CCCCO*,0.996219908,GREA,0.5
*CCCCCCO*,1.06,GREA,0.5
*CCCCCCCCO*,1.03,GREA,0.5
*CCCCCCCCCO*,1.025,GREA,0.5
*CCCCCCCCCCO*,1.03,GREA,0.5
*Oc1ccc(*)cc1,1.4165,GREA,0.5
*OC1C(C)(C)C(*)C1(C)C,1.06,GREA,0.5
*CCOCO*,1.41,GREA,0.5
*CCCCOCO*,1.185,GREA,0.5
*CCCCCOCO*,1.14,GREA,0.5
*CCCCCCOCO*,1.08,GREA,0.5
*CCOCCOC(=O)CCCCCCCCC(=O)O*,1.128,GREA,0.5
*CCOC(=O)c1ccc(O*)cc1,1.39,GREA,0.5
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,1.178,GREA,0.5
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,1.2422966844999999,GREA,0.5
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,1.37,GREA,0.5
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.2835,GREA,0.5
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.233,GREA,0.5
*OC(*)CCCCCC,0.995,GREA,0.5
*CCOCCOC(=O)CCCCC(=O)O*,1.1918,GREA,0.5
*CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,1.2,GREA,0.5
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.287,GREA,0.5
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,1.38,GREA,0.5
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.775,GREA,0.5
