SMILES,Tc,Source,Confidence
*CC*,0.456184962,PI1070,0.5
*/C=C\CC*,0.266947942,PI1070,0.5
*C=CCC*,0.314780299,PI1070,0.5
*C(C)C(*)C,0.264498348,PI1070,0.5
*C=CCCCCCCCC*,0.343357529,PI1070,0.5
*C=CCCCCCC*,0.302191029,PI1070,0.5
*/C=C\CCCC*,0.263602776,PI1070,0.5
*C(CC)C(*)CC,0.250042719,PI1070,0.5
*CCC=C(*)CCCCCCC,0.278102134,PI1070,0.5
*CCC=C(*)C(C)C,0.235767575,PI1070,0.5
*/C=C\CCC*,0.244482147,PI1070,0.5
*/C=C\*,0.573236329,PI1070,0.5
*/C=C\CCCCC*,0.271936281,PI1070,0.5
*C=CC1CCC(*)C1,0.309193929,PI1070,0.5
*CCC=C(*)CCC,0.257522564,PI1070,0.5
*C=CCCCCCCCCCC*,0.357300526,PI1070,0.5
*C=CC(C)CCCCC*,0.264312063,PI1070,0.5
*CC/C=C(\*)C(C)(C)C,0.230866797,PI1070,0.5
*CC(*)c1ccccc1C(=O)O,0.221643379,PI1070,0.5
*CC(*)c1ccc(C(C)C)cc1,0.245006224,PI1070,0.5
*CC(*)c1ccc(C(C)CC)cc1,0.23187009,PI1070,0.5
*CC(*)c1ccc(-c2ccccc2)cc1,0.200955009,PI1070,0.5
*CC(*)c1ccc(COCCOCC)cc1,0.249515883,PI1070,0.5
*CC(*)c1ccc(C#N)cc1,0.174135805,PI1070,0.5
*CC(*)c1ccc(Cl)cc1,0.150273069,PI1070,0.5
*CC(*)c1ccc(Br)cc1,0.124850886,PI1070,0.5
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.116253947,PI1070,0.5
*CC(*)c1ccc(C(C)=NO)cc1,0.262934975,PI1070,0.5
*CC(*)c1ccc(C(C)(O)CCC)cc1,0.266747745,PI1070,0.5
*CC(*)c1ccc(C(C)(O)CCCC)cc1,0.262999518,PI1070,0.5
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,0.27418578,PI1070,0.5
*CC(*)c1ccc(C(O)CCN(C)C)cc1,0.268210349,PI1070,0.5
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,0.250363552,PI1070,0.5
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,0.232670764,PI1070,0.5
*CC(*)c1ccc(COC)cc1,0.228853851,PI1070,0.5
*CC(*)c1ccc(COCCO)cc1,0.25859742,PI1070,0.5
*CC(*)c1ccc(COCCC)cc1,0.237335127,PI1070,0.5
*CC(*)c1ccc(COCCCC)cc1,0.260603141,PI1070,0.5
*CC(*)c1ccc(COCCCCO)cc1,0.272183986,PI1070,0.5
*CC(*)c1ccc(COC(C)CC)cc1,0.247595241,PI1070,0.5
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,0.235723579,PI1070,0.5
*CC(*)c1ccc(C(=O)OCC)cc1,0.235563807,PI1070,0.5
*CC(*)c1ccc(C(=O)OCCC)cc1,0.24176446,PI1070,0.5
*CC(*)c1ccc(C(=O)OC(C)C)cc1,0.250453544,PI1070,0.5
*CC(*)c1ccc(C(=O)OCCCC)cc1,0.261827286,PI1070,0.5
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,0.237523806,PI1070,0.5
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,0.258101979,PI1070,0.5
*CC(*)c1ccc(C(=O)CC)cc1,0.244573024,PI1070,0.5
*CC(*)c1ccc(C(=O)CCC)cc1,0.245764324,PI1070,0.5
*CC(*)c1ccc(C(=O)CCCC)cc1,0.263241449,PI1070,0.5
*CC(*)c1ccc(C(=O)CCCCC)cc1,0.258123945,PI1070,0.5
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,0.219547247,PI1070,0.5
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,0.216592432,PI1070,0.5
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,0.242415832,PI1070,0.5
*CC(*)c1ccc(F)cc1,0.163887726,PI1070,0.5
*CC(*)c1ccc(I)cc1,0.097198673,PI1070,0.5
*CC(*)c1ccc(N(C)C)cc1,0.270531824,PI1070,0.5
*CC(*)c1ccc(OC)cc1,0.215501326,PI1070,0.5
*CC(*)c1ccc(OCC)cc1,0.242464965,PI1070,0.5
*CC(*)c1ccc(OCCC)cc1,0.243869844,PI1070,0.5
*CC(*)c1ccc(OCCCC)cc1,0.246692673,PI1070,0.5
*CC(*)c1ccc(OCCC(C)C)cc1,0.282457207,PI1070,0.5
*CC(*)c1ccc(Oc2ccccc2)cc1,0.221253857,PI1070,0.5
*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0.239465602,PI1070,0.5
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,0.209057278,PI1070,0.5
*CC(*)c1c(Cl)cccc1Cl,0.113806933,PI1070,0.5
*CC(*)c1cc(C)cc(C)c1,0.239838224,PI1070,0.5
*CC(*)c1c(F)c(F)c(F)c(F)c1F,0.111121575,PI1070,0.5
*C(F)(F)C(*)(F)c1ccccc1,0.209551814,PI1070,0.5
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,0.109340544,PI1070,0.5
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,0.241083815,PI1070,0.5
*CC(*)(C)c1ccc(C)cc1,0.206248478,PI1070,0.5
*C(c1ccccc1)C(*)[N+](=O)[O-],0.16724356,PI1070,0.5
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,0.154440392,PI1070,0.5
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,0.245710563,PI1070,0.5
*CC(*)c1ccc2ccccc2c1,0.189317179,PI1070,0.5
*CC(*)c1ccncc1,0.194624132,PI1070,0.5
*CC(*)c1cccc(C)n1,0.231875326,PI1070,0.5
*CC(*)c1ccc(C)nc1,0.216347814,PI1070,0.5
*CC(*)N1Cc2ccccc2N1,0.210041586,PI1070,0.5
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,0.115569094,PI1070,0.5
*CC(*)OC(C)=O,0.258656205,PI1070,0.5
*CC(*)CCCCCCCCCO,0.330609059,PI1070,0.5
*CC(*)CCN(C(C)C)C(C)C,0.274221978,PI1070,0.5
*CC(*)CCCN(C(C)C)C(C)C,0.27772076,PI1070,0.5
*C=CC(C)C(*)C(=O)OC,0.242911397,PI1070,0.5
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,0.255175548,PI1070,0.5
*CC(*)OC=O,0.235150652,PI1070,0.5
*CC(*)OCc1ccccc1,0.205595119,PI1070,0.5
*CC(*)OC(C)(C)C,0.226849329,PI1070,0.5
*C(C)C(*)OCC(C)C,0.222144713,PI1070,0.5
*CC(*)(C)OC,0.207223659,PI1070,0.5
*CC(*)OCC(C)(C)C,0.218243316,PI1070,0.5
*CC(*)OC(C)CC,0.235279019,PI1070,0.5
*CC(*)OC(=O)C(F)(F)F,0.160012719,PI1070,0.5
*/C=C/C(C*)OC,0.250969245,PI1070,0.5
*C=CCC(C)(CC*)C(=O)OC,0.249826128,PI1070,0.5
*CC(*)CCc1ccccc1C,0.237337805,PI1070,0.5
*CC(*)CCc1ccc(C)cc1,0.23781263,PI1070,0.5
*CC(*)OCCCCCCCCCCCC,0.325984117,PI1070,0.5
*C(C)C(*)OCCCC,0.2476222,PI1070,0.5
*C(C)C(*)OC(C)(C)C,0.203928088,PI1070,0.5
*C(C)C(*)OCC,0.227848602,PI1070,0.5
*C(C)C(*)OC(C)C,0.223844824,PI1070,0.5
*C(C)C(*)OC,0.217127213,PI1070,0.5
*C(C)C(*)OCCC,0.232191511,PI1070,0.5
*CC(*)Cc1cc(C)ccc1C,0.219339206,PI1070,0.5
*CC(*)Cc1ccc(C)c(C)c1,0.220624848,PI1070,0.5
*CC(*)Cc1cc(C)cc(C)c1,0.227538068,PI1070,0.5
*CC(*)Cc1cccc(C)c1,0.213029156,PI1070,0.5
*CC(*)Cc1ccccc1C,0.211243073,PI1070,0.5
*CC(*)Cc1ccc(C)cc1,0.20880675,PI1070,0.5
*C(C)C(*)O,0.269690871,PI1070,0.5
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,0.245177434,PI1070,0.5
*CC(*)C(=O)C(C)(C)C,0.222675631,PI1070,0.5
*CC(*)C(=O)c1ccccc1O,0.225341707,PI1070,0.5
*C=CC(C*)OC,0.240715701,PI1070,0.5
*CCC=C(*)c1ccccc1,0.209330511,PI1070,0.5
*C(O)C(*)O,0.503119958,PI1070,0.5
*CC(*)OCC(CC)CCCC,0.250639578,PI1070,0.5
*CC(*)SCCCC,0.231505378,PI1070,0.5
*CC(*)OC1CCCCC1,0.209300741,PI1070,0.5
*CC(*)SCC,0.212352519,PI1070,0.5
