model,Tg_mean,Tg_std,FFV_mean,FFV_std,Tc_mean,Tc_std,Density_mean,Density_std,Rg_mean,Rg_std,score,extra_info
gatv2,22.4999,0.7899,0.0046,0.0001,0.0172,0.0007,0.0136,0.0005,1.7065,0.0711,,
gin,23.1889,0.5599,0.0047,0.0002,0.0174,0.0021,0.0139,0.0016,1.6918,0.1640,,
dmpnn,,,,,,,,,,,,
attentivefp,22.8237,1.1944,0.0046,0.0001,0.0162,0.0021,0.0122,0.0007,1.6858,0.1368,,
gps,,,,,,,,,,,,
pna,,,,,,,,,,,,
gt,22.0453,0.6657,0.0045,0.0002,0.0158,0.0015,0.0124,0.0008,1.8355,0.1740,,
gcn,,,,,,,,,,,,
gatv2_virtual_node,,,,,,,,,,,,
kan_gatv2,25.2952,1.1712,0.0066,0.0001,0.0161,0.0009,0.0195,0.0067,1.7889,0.1724,,
kan_gps,,,,,,,,,,,,
kan_gin,41.2818,2.0626,0.0060,0.0006,0.0290,0.0113,0.0328,0.0025,3.2891,0.4014,,
kan_dmpnn,,,,,,,,,,,,
fastkan_gatv2,,,,,,,,,,,,
gatv2_chain_readout,,,,,,,,,,,,
gatv2_lineevo_readout,23.3476,0.4781,0.0048,0.0001,0.0150,0.0019,0.0130,0.0006,1.6383,0.1731,,
gatv2_pe,25.9572,0.9894,0.0048,0.0002,0.0181,0.0026,0.0143,0.0007,1.8040,0.0953,,
gatv2_periodic,23.3959,0.8349,0.0047,0.0002,0.0155,0.0017,0.0143,0.0023,1.6690,0.1459,,
