No.,model,performance,tag,kaggle,score
1,gatv2,0.0559,MD-2nd (K-Fold),<23(-1),
2,gatv2,0.0537,residual-cv (K-Fold) (Optuna),,
3,gatv2,0.0541,residual-cv-best (K-Fold),,
4,gatv2,0.0526,MD-PI1070-Difference-All (K-Fold) (Optuna),,
5,gatv2,0.0543,residual-PI1070-MD-500-0.15diff (K-Fold),,
6,gatv2,0.0550,residual-PI1070-MD-manually (K-Fold),,
7,gatv2,,original Rg,,10
8,gatv2,,PI1070 difference,~>7,10
9,pna,,,>8(+4),14
10,gvp,,,<9(-6),8
11,fastkan_gatv2,0.0560,residual-cv (K-Fold) (Optuna),,
12,gatv2,0.0517,log (K-Fold) (Optuna),,
13,gatv2_sage,0.0534,initial-test (K-Fold) (Optuna),<23(-10),
14,gatv2_lineevo,0.0588,initial-test (K-Fold) (Optuna),<23(-14,
15,gatv2,0.0600,MD-3rd (K-Fold),<23(-5),
16,kan_gatv2,0.0459,hparams-opt->TODO KFOLD,>7(+4),14
17,gatv2,0.0478,residual (Optuna)->TODO KFOLD,>16(+1),15
18,kan_gatv2,0.0527,residual (Optuna)->TODO KFOLD,<17(-9),6
19,gatv2,0.0521,residual-ensemble->TODO KFOLD,>17(+4),19
20,kan_gatv2,0.0545,residual-cv (K-Fold) (Optuna),<19(-7),12
21,gatv2,0.0540,residual-ensemble-cv-hparams-opt->TODO KFOLD,~19,19
22,gatv2,0.0507,residual-ensemble-cv-hparams-opt-2000epochs->TODO KFOLD,~19,19
23,gatv2,0.0548,residual-ensemble-MD-merged KFOLD,>19(+1),20
24,gatv2,0.0717,residual-epig-300samples (Optuna)->TODO KFOLD,<23(-4),16
25,kan_gatv2,0.0459,hparams-opt,>7(+3),13
26,gatv2,0.0600,MD-3rd (K-Fold),<23(-5),15
27,pna,0.0546,test (K-Fold),<23(-5),15
