,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
H,0.010638297872340425,0.2958801498127341,0.5255972696245734,0.20142857142857143,0.004131147540983607,0.0034198988195615516,0.14947273559525706,0.0009774774774774775,0.11923076923076924,0.13793103448275862,0.5111006083120202,0.7113579003744775,0.09615384615384616,0.0031369073992024814,0.011239669386533665,0.45929018789144055,0.8773832745850173,0.48074885199576123,0.5958727118307161,0.5527638190954774,0.5530658056506778,0.0005110732538330493,0.4339153497624047,0.7624710613480109,0.3851685844347749,0.38516858441198026,0.0,0.05714162311579493,0.3607716465512892,0.3770935668983122,1.0,0.38097502972651603,0.34396820281448065,0.0010970873786407768,0.25616686251468856,0.3581661891117478,1.0,0.003667539267015707,0.16098111079785735,0.045454545454545456,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.14285714285714285,0.2164086142626374,0.0004197674418604651,0.3160919540229885,0.3448275862068966,0.44505494505494503,0.5889795918367348,0.06920980926430517,0.01122169303264894
He,0.02127659574468085,0.5536803100748245,0.45733788395904434,0.4542857142857143,0.016404106557377052,0.0007109612141652615,0.2239648146209047,0.00022072072072072072,0.1076923076923077,0.19827586206896552,0.5261851125482381,0.6650352325503633,0.47264336165922305,0.006513070447496676,0.0034507399002493768,0.8684759916492694,0.0,0.8685976686683151,1.0,0.5999118474760308,1.0,0.05112263863248258,1.0,0.9935578395366621,0.4736978867640593,0.4736978867591095,0.0,0.1062929210037576,0.32653061224489793,0.42857142857142855,0.3586409395973154,0.27462016118377597,0.20496293909120203,9.70873786407767e-05,0.1412199067083883,0.34097421203438394,0.009708737864077669,0.0002486910994764398,0.2960248096983366,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,1.0,0.00035186046511627905,0.40229885057471265,0.4109195402298851,0.42032967032967034,0.48204081632653056,0.05286103542234333,0.003450890272635476
Li,0.031914893617021274,0.5805243445692884,0.7508532423208191,0.18714285714285714,0.028442622950819674,0.18855817875210795,0.02894736842105263,0.21171171171171171,0.49230769230769234,0.5732758620689655,0.5688073394495413,0.6955431534671941,0.5576923076923077,0.023659725299069564,0.4089775561097257,0.2045929018789144,0.8715432880540562,0.1904627340162487,0.23738457507363706,0.24623115577889446,0.21928800323515468,0.02555366269165247,0.0,0.8638119738733526,0.5233418360754066,0.5233418361969416,0.0,0.1433363566708418,0.29591836734693877,0.46153846153846156,0.25041946308724833,0.3284449729158409,0.23235578472446017,0.1796116504854369,0.1871915393654524,0.3333333333333333,0.11650485436893204,0.14494502617801047,0.1835353820129687,0.045454545454545456,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2857142857142857,0.6725134926754048,0.19767441860465115,0.5229885057471264,0.6091954022988506,0.7005494505494505,0.5002040816326531,0.32697547683923706,0.40945809491753615
Be,0.0425531914893617,0.41947565543071164,0.7474402730375427,0.07142857142857142,0.03693517663934426,0.5468802698145026,0.34210526315789475,0.03213213213213213,0.36923076923076925,0.4396551724137931,0.41284403669724773,0.5345911949685535,0.40384615384615385,0.0818785999113868,0.09403990024937656,0.3277661795407098,0.7420839906102783,0.32931826209819853,0.3274950758054898,0.39447236180904527,0.3791659520387424,0.0672487223168654,0.0,0.7330863010984736,0.4084760291515207,0.4084760292499189,0.0,0.06815531464605018,0.8163265306122449,0.43956043956043955,0.1275866890380313,0.21724137931034482,0.08711999140616607,0.375,0.3807285546415981,0.218720152817574,0.7475728155339806,0.40602094240837694,0.0683676346208063,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.35158057054741715,0.4418604651162791,0.4396551724137931,0.5689655172413793,0.6126373626373627,0.560204081632653,0.7084468664850136,0.09424436216762032
B,0.05319148936170213,0.36704119850187267,0.6996587030716723,0.06571428571428571,0.04430327868852459,0.6629005059021923,0.8421052631578947,0.014894894894894895,0.3230769230769231,0.36637931034482757,0.3577981651376147,0.4591194968553459,0.3269230769230769,0.10367744793974301,0.05119700748129676,0.42588726513569936,0.8570307846894775,0.42847050512186513,0.4176213881710909,0.5125628140703518,0.3374909257335885,0.42759795570698467,0.084208199801083,0.5304147564994064,0.3956985209706813,0.39569852095133473,0.0,0.061957413726083016,0.29591836734693877,0.21978021978021978,0.07172818791946309,0.14647905932091426,0.08325276614029434,0.6122572815533981,0.663924794359577,0.833810888252149,0.8349514563106796,0.6735602094240838,0.0618832816464618,0.22727272727272727,0.09375,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,1.0,0.2857142857142857,0.19757131842713954,0.06279069767441861,0.5517241379310345,0.5488505747126436,0.5906593406593407,0.833265306122449,0.8828337874659401,0.05099293167283742
C,0.06382978723404255,0.3408239700374532,0.6484641638225256,0.0757142857142857,0.04922540983606557,0.8600337268128162,0.0868421052631579,0.007192192192192192,0.28076923076923077,0.3232758620689655,0.3073394495412844,0.37735849056603776,0.2692307692307692,0.09968985378821445,0.05119700748129676,0.5323590814196242,0.8991706889692216,0.5316142705757684,0.5077251124884803,0.6407035175879396,0.4579705846741665,1.0,0.24842524035805066,0.3548323803329975,0.36523070025792653,0.36523070028135934,0.0,0.04871938841618796,0.05102040816326531,0.054945054945054944,0.049566554809843406,0.11252477209671029,0.06090879793747986,0.8000996057785755,0.842385428907168,0.34097421203438394,0.9223300970873787,1.0,0.07457005920496194,0.18181818181818182,0.125,0.0,0.0,0.0,0.0,0.8,0.3333333333333333,0.0,1.0,0.2857142857142857,0.13704703161141094,0.32558139534883723,0.4885057471264368,0.5086206896551724,0.5604395604395604,0.7859183673469389,1.0,0.028105015146415346
N,0.07446808510638298,0.3445692883895131,0.6109215017064846,0.24714285714285716,0.05740573770491803,0.013052276559865093,0.15096021809923424,0.0038588588588588588,0.27307692307692305,0.30603448275862066,0.27522935779816515,0.33962264150943394,0.25,0.035799734160389896,0.018952618453865335,0.6346555323590815,0.7849790189692539,0.6404097492052279,0.5984251612786642,0.7638190954773869,0.5911201544108774,0.0030238500851788755,0.35567466018344573,0.42405748890177425,0.5034103662164421,0.5034103661889759,0.0,0.12757526022545676,0.1326530612244898,0.054945054945054944,0.07270693512304251,0.38478002378121284,0.24363519174991943,0.02433963054944224,0.5551586368977673,0.3857688634192932,0.970873786407767,0.01656806282722513,0.1908655201578799,0.13636363636363635,0.15625,0.0,0.0,0.0,0.0,0.6,0.5,0.0,1.0,0.2857142857142857,0.14898760855642565,6.0069767441860465e-05,0.4454022988505747,0.47701149425287354,0.5302197802197802,0.746938775510204,0.01817983651226158,0.018512285425782565
O,0.0851063829787234,0.5475708625895442,0.5836177474402731,0.2,0.06556967213114755,0.01520910623946037,0.20027905486979547,0.0025075075075075073,0.25384615384615383,0.27155172413793105,0.26146788990825687,0.3333333333333333,0.23076923076923078,0.050908285334514844,0.013067331670822944,0.7181628392484343,0.9077065636900019,0.7545037089367714,0.6879754784148611,0.864321608040201,0.5538632470380037,0.0018739352640545143,0.0,0.6636198192089824,0.4284507342196512,0.42845073419045,0.0,0.07865071481017578,0.05102040816326531,0.054945054945054944,0.06417785234899329,0.38813581714889683,0.1864861961542593,0.018906664068392323,0.2928660399529965,0.6523400191021967,0.9805825242718447,0.014345549738219894,0.24471384268395827,0.09090909090909091,0.1875,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.0,1.0,0.2857142857142857,0.20801592846327233,6.181395348837209e-05,0.4367816091954023,0.43103448275862066,0.5,0.7142857142857143,0.017302452316076293,0.013497139010434197
F,0.09574468085106383,0.5019611017544869,0.5563139931740614,0.2442857142857143,0.07786230803278688,0.01433558178752108,0.1231551039401649,0.0015315315315315315,0.21923076923076923,0.27586206896551724,0.2706422018348624,0.3333333333333333,0.19230769230769232,0.04909171466548516,0.009226932668329177,0.8308977035490606,0.9909261873075755,0.8760155422112328,0.7780295090261841,1.0,0.7086072220687786,0.00217206132879046,0.10885180682948392,0.8757272283128693,0.43770016236868525,0.4377001623558656,0.0,0.0838552239450611,0.15306122448979592,0.16483516483516483,0.05760626398210291,0.4135817148896816,0.17638844129337203,0.007936893203883496,0.09322561692126909,0.5378223551855871,0.9902912621359223,0.014013089005235603,0.15787989850577952,0.045454545454545456,0.21875,0.0,0.0,0.0,0.0,0.2,0.8333333333333334,0.0,1.0,0.2857142857142857,0.23975440282966123,6.441860465116279e-05,0.4224137931034483,0.41954022988505746,0.4697802197802198,0.6865306122448979,0.15405536148871207,0.009373948165600809
Ne,0.10638297872340426,0.5566649484707187,0.5324232081911263,0.24000000000000002,0.08270368852459016,0.004569983136593592,0.1976207345291688,0.0010375375375375375,0.2230769230769231,0.28879310344827586,0.44036697247706424,0.7266176439242962,0.48747107318637245,0.053345148427115636,0.006658354114713216,1.0,0.9120867432805022,1.0,0.8682619852183813,0.5692032964818855,0.8770570048781516,0.0013969335604770016,0.7231738313625815,1.0,0.47795821719583986,0.47795821726497684,0.0,0.10918671446464821,0.3646078640175285,0.4093504381754815,0.07200782997762864,0.27462016118377597,0.24803953163605114,0.002111650485436893,0.14650936552131338,0.4231136580706781,0.019417475728155338,0.012565445026178011,0.18649563010995207,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2857142857142857,0.19834232845026986,0.0001141860465116279,0.4425287356321839,0.4540229885057471,0.43956043956043955,0.6618367346938776,0.05100817438692098,0.006636149444631437
